videoid,added_date,description,location,location_type,name,preview_image_location,tags,userid,content_rating,category,language
59530a4b-77e7-4ce4-a88d-0f11b3d61408,2025-08-28T05:04:35.000Z,"You’ve seen the headlines: AI is transforming industries, creating new opportunities, and disrupting the status quo. The real question is, how will you harness it?

Your moment to innovate is here, and with Langflow, you can turn ideas into AI-powered applications faster than ever. In this livestream, we’ll show you how Langflow’s intuitive, visual environment empowers you to design, connect, and deploy complex AI workflows, no advanced coding required. You’ll see how to combine LLMs, retrieval-augmented generation (RAG), APIs, and custom logic into solutions that can drive real change in your organization or project.

You’ll learn:

--How to rapidly prototype and iterate AI-powered workflows
--Ways to integrate data, APIs, and custom logic into your AI apps
--Best practices for going from proof of concept to production with Langflow

Whether you’re a developer, product innovator, or business leader, this is your chance to lead the change.

Additional Resources:
- DataStax Developer Hub: https://dtsx.io/devhub
- DataStax Blog: https://dtsx.io/howto
- Try Langflow: https://dtsx.io/trylangflow
- Try Astra DB: https://dtsx.io/40kQpI6
____________________

Stay in touch:
- Join our Discord Community: https://discord.gg/datastax
- Follow us on X: https://x.com/DataStaxDevs",https://www.youtube.com/embed/L7V_woT8mbQ,1,Build AI-Powered Apps Faster with Langflow,https://i.ytimg.com/vi/L7V_woT8mbQ/maxresdefault.jpg,"{""astra"",""datastax""}",55e2427e-a053-48dc-a807-83679ea76d1b,G,Education,en
b5d3fd1a-1e96-4a7d-9b1d-3a516c18c00b,2025-08-21T05:01:57.000Z,"Join us for a livestream on accelerating AI development using the Model Context Protocol (MCP) and Langflow, a visual orchestration tool built for developers.

When you're building agents with MCP, managing tools across different MCP servers, each with its own authentication, things can get messy fast. This session shows how combining Langflow with the new IBM MCP Composer helps streamline that sprawl into a lightweight, developer-friendly workflow.

We’ll walk through how to visually compose, test, and deploy MCP servers using Langflow, and how to integrate IBM’s AI tools via MCP without the friction of heavy infrastructure. You’ll get a first look at MCP Composer, a new open-source tool for building AI pipelines with reusable components and open standards.

During this session, you’ll learn:

How to use Langflow to visually compose, test, and deploy MCP servers with minimal setup.
Ways to integrate IBM-provided AI tools available via MCP into your workflows for enhanced functionality.
How to secure your MCP flows using OAuth 2.0, API keys, and other developer-friendly authentication mechanisms.
Why the open MCP stack is a game changer for developers looking to contribute to a scalable, interoperable AI ecosystem.

Additional Resources:
- DataStax Developer Hub: https://dtsx.io/devhub
- DataStax Blog: https://dtsx.io/howto
- Try Langflow: https://dtsx.io/trylangflow
- Try Astra DB: https://dtsx.io/40kQpI6
____________________

Stay in touch:
- Join our Discord Community: https://discord.gg/datastax
- Follow us on X: https://x.com/DataStaxDevs

Chapters:
00:00:00 Introduction
_________",https://www.youtube.com/embed/x76QZRuC__8,1,"MCP for Developers: Visual AI with MCP, Langflow & IBM Tools",https://i.ytimg.com/vi/x76QZRuC__8/maxresdefault.jpg,"{""scalable"",""astra"",""datastax"",""introduction""}",82f18b9a-13e7-4d8a-ad7c-a1263cc485d3,G,Education,en
ee3f11ff-06da-4f94-afd5-e10f2f5128fa,2025-07-23T04:52:22.000Z,"Retail is one of the most obvious industries for generative AI to make a big impact. Leveraging Gen AI with huge data sets in real-time opens up a wide range of highly nuanced and personalized customer interactions.

Combining user behavior data and vector embeddings is how developers serve up relevant, personalized suggestions in real-time. This livestream will reveal the building blocks of creating instant recommendations with GenAI, and show you how vector search enables this kind of precision and speed when building retail and e-commerce applications.

During this session, you’ll learn to:
--Drive additional product sales and views with Gen AI-driven recommendations.
--How to generate vector embeddings for your product data set.
--Work vector search into your e-commerce channel.

LIVESTREAM RESOURCES:

Rethinking Retail Data Architecture for the AI Era: https://dtsx.io/3IVH7gG 
Free Astra Account: https://dtsx.io/3GMdpKB 
GitHub: Ecommerce https://dtsx.io/417Fz9D
GitHub: Hugging Face Embeddings: https://dtsx.io/45ewsGB 
Blog: GenAI in Retail: https://dtsx.io/3IDNKnT 

Additional Resources:
- DataStax Developer Hub: https://dtsx.io/devhub
- DataStax Blog: https://dtsx.io/howto
- Try Langflow: https://dtsx.io/trylangflow
- Try Astra DB: https://dtsx.io/40kQpI6
____________________

Stay in touch:
- Join our Discord Community: https://discord.gg/datastax
- Follow us on X: https://x.com/DataStaxDevs",https://www.youtube.com/embed/jwGAeqeORnM,1,Build Real-Time GenAI Product Recs that Boost Cart Size,https://i.ytimg.com/vi/jwGAeqeORnM/maxresdefault.jpg,"{""architecture"",""astra"",""search"",""vector"",""datastax""}",0d8a32b6-9dcf-47be-9821-b290ef58d9ec,G,Education,en
e9f74362-ee1b-4fdf-b8d4-60b83c57de7c,2025-07-11T17:20:32.000Z,"Keep your dev workflow clean and organized with this smart Vibe Coding tip: use your AI agent to manage a todo file! ✅

It’s like pair programming… with a project manager.
#VibeCoding #AIAgent #DeveloperTools #Productivity #Markdown


Additional Resources:
- DataStax Developer Hub: https://dtsx.io/devhub
- DataStax Blog: https://dtsx.io/howto
- Try Langflow: https://dtsx.io/trylangflow
- Try Astra DB: https://dtsx.io/40kQpI6
____________________

Stay in touch:
- Join our Discord Community: https://discord.gg/datastax
- Follow us on X: https://x.com/DataStaxDevs

Chapters:
00:00:00 Introduction
_________",https://www.youtube.com/embed/_6VQ1LyjqBk,1,Vibe Coding Tip: Let Your AI Agent Manage Your To-Do List! #vibecoding,https://i.ytimg.com/vi/_6VQ1LyjqBk/maxresdefault.jpg,"{""astra"",""datastax"",""introduction""}",b5bbbd5e-6bb6-4272-952a-e8f21d220895,G,Education,en
70efb217-80d8-4b90-9e4e-4b01a8377add,2025-07-10T05:10:29.000Z,"You’ve built a GenAI app using RAG, but your answers still feel shallow, especially when users ask questions that require context from multiple documents. The problem isn’t your vector search. The problem is that your documents are disconnected.

Join us for a practical walkthrough of GraphRetriever, a lightweight approach to Graph RAG that enriches LLM responses with structured context, without needing a knowledge graph or graph database.

In this session, you’ll learn:

--Why basic vector search misses the full picture
--How to use metadata to define edges and relationships at query time
--How GraphRetriever connects reviews and movie metadata to answer real-world queries like “What are some good family movies?”

This session is based on a real use case using Rotten Tomatoes reviews. You’ll leave with runnable code and a better way to make your RAG pipeline feel smarter.

Livestream Resources:
Free Astra Account: dtsx.io/3U7f1RW 
Blog: Graph RAG & Movie Reviews: dtsx.io/4lkMZPa 
Graph RAG Movie Review Examples: dtsx.io/3IkQfeQ 
Graph RAG Colab: dtsx.io/44UDbFC


Additional Resources:
- DataStax Developer Hub: https://dtsx.io/devhub
- DataStax Blog: https://dtsx.io/howto
- Try Langflow: https://dtsx.io/trylangflow
- Try Astra DB: https://dtsx.io/40kQpI6
____________________

Stay in touch:
- Join our Discord Community: https://discord.gg/datastax
- Follow us on X: https://x.com/DataStaxDevs

_________",https://www.youtube.com/embed/vfLWe136N6A,1,Connect the Dots in Your RAG Pipeline with Graph RAG and GraphRetriever,https://i.ytimg.com/vi/vfLWe136N6A/maxresdefault.jpg,"{""astra"",""query"",""search"",""vector"",""datastax"",""database""}",6d81a109-3095-4754-aaec-b9bc63ab7b21,G,Education,en
fbaffd87-25e0-4c94-97cd-d2cb764727bd,2025-06-27T06:19:41.000Z,"See how Bud Financial delivers 10x faster financial data classification using RAG + GenAI.

Join our live technical session with Jakub Piotrowski, VP Product at Bud Financial, to learn how leading financial firms are using AI to automate data pipelines, detect fraud in real-time, and deliver personalized customer experiences.

You'll learn:

Real-world RAG architecture for production financial applications
How to scale AI infrastructure for real-time insights
Cost reduction strategies from live customer implementations
Perfect for: CTOs, CIOs, and Architects building AI-powered financial applications.

Additional Resources:
- DataStax Developer Hub: https://dtsx.io/devhub
- DataStax Blog: https://dtsx.io/howto
- Try Langflow: https://dtsx.io/trylangflow
- Try Astra DB: https://dtsx.io/40kQpI6
____________________

Stay in touch:
- Join our Discord Community: https://discord.gg/datastax
- Follow us on X: https://x.com/DataStaxDevs",https://www.youtube.com/embed/wB_Li3vfaes,1,Scaling with RAG: How GenAI Powers Real-Time Financial Intelligence,https://i.ytimg.com/vi/wB_Li3vfaes/maxresdefault.jpg,"{""astra"",""datastax"",""architecture""}",76a929f6-eff4-490a-af79-b952a496e7c8,G,Education,en
6d57b218-303a-4fea-af85-8487e7de3423,2025-06-26T18:02:15.000Z,"In the era of Vibe Coding, your AI agent should be a collaborator — not the boss. It’s tempting to speed through changes, but blindly accepting suggestions can lead to sneaky mistakes. 

Treat your agent like a coding companion. Stay in the loop, review every change, and keep the conversation going. 💬

More tips: https://www.youtube.com/watch?v=t_mZ84-B-5Y 

#VibeCoding #AIAgents #DevTips #AICompanion #GenAI #Programming #CodeSmarter



Additional Resources:
- DataStax Developer Hub: https://dtsx.io/devhub
- DataStax Blog: https://dtsx.io/howto
- Try Langflow: https://dtsx.io/trylangflow
- Try Astra DB: https://dtsx.io/40kQpI6
____________________

Stay in touch:
- Join our Discord Community: https://discord.gg/datastax
- Follow us on X: https://x.com/DataStaxDevs

Chapters:
00:00:00 Introduction
_________",https://www.youtube.com/embed/orwfgV78sSQ,1,Vibe Coding Tip: Don’t Let Your AI Agent Take Over 🤖 #shorts #vibecoding,https://i.ytimg.com/vi/orwfgV78sSQ/maxresdefault.jpg,"{""astra"",""datastax"",""introduction""}",8010a7bb-aa22-45b3-a15a-a4fc16cdae30,G,Education,en
ff0e9478-f3ea-4b75-bca0-8979ecd9d3af,2025-06-24T19:35:00.000Z,"In the era of vibe coding with AI agents, committing your changes early and often isn’t just good practice—it’s essential.

Developer advocate David Jones-Gilardi shares a hard-earned lesson: when agents go off the rails, your last commit could be your lifeline.

Watch the full video for all 10 of David's tips! https://www.youtube.com/watch?v=t_mZ84-B-5Y 

#vibecoding #AIagents #devtips #codingbestpractices #Langflow #GenAI



Additional Resources:
- DataStax Developer Hub: https://dtsx.io/devhub
- DataStax Blog: https://dtsx.io/howto
- Try Langflow: https://dtsx.io/trylangflow
- Try Astra DB: https://dtsx.io/40kQpI6
____________________

Stay in touch:
- Join our Discord Community: https://discord.gg/datastax
- Follow us on X: https://x.com/DataStaxDevs


_________",https://www.youtube.com/embed/IWfLnMP2Jws,1,Why Frequent Commits Matter in Vibe Coding 🚨,https://i.ytimg.com/vi/IWfLnMP2Jws/maxresdefault.jpg,"{""astra"",""datastax""}",a8f092cd-0e71-49c0-8fe3-fc2ba4683978,G,Education,en
0b37dc98-1f0b-45e6-aa8f-72eb53325ff3,2025-06-18T16:48:27.000Z,"Want better results from your AI coding assistant? 🧠

In this quick tip, learn how breaking large tasks into phases and milestones can improve both your workflow and the agent's output. By explicitly prompting the agent to structure its plan, you’ll get more clarity, better execution—and a built-in to-do list to keep things on track.

Catch all 10 tips in this video: https://dtsx.io/3TuTAtQ",https://www.youtube.com/embed/eNPpblNmeCI,1,Secret to Vibe Coding Success: Break Down Tasks into Milestones,https://i.ytimg.com/vi/eNPpblNmeCI/maxresdefault.jpg,"{""database""}",fb67838a-a486-4c6b-aa73-aab18a3a953d,G,Education,en
03cb2628-ad3c-4a90-8ecf-5a22f503d660,2025-06-18T05:24:43.000Z,"In our inaugural episode, David and Carter are joined by Eyal Ben Barouch, head of data & AI at Tavily. A developer-focused podcast episode featuring Tavily where we dive into ""the web infra for AI agents"", code demonstrations including Tavily ""crawl"", and discussion about where AI agents are succeeding and failing in the industry. We'll also demonstrate using Tavily in Langflow, a low-code visual IDE for building agentic workflows in your applications.",https://www.youtube.com/embed/e7JruzhEdCE,1,"""The Flow"" Podcast, Featuring Tavily",https://i.ytimg.com/vi/e7JruzhEdCE/maxresdefault.jpg,"{""demo""}",b3f271a8-ce9a-48e6-8b0a-f8a3ca519f3d,G,Education,en
